,shot_id,url
5208,17799,s3://mast/level1/shots/17799.zarr
5209,17800,s3://mast/level1/shots/17800.zarr
5210,17802,s3://mast/level1/shots/17802.zarr
5211,17803,s3://mast/level1/shots/17803.zarr
5212,17804,s3://mast/level1/shots/17804.zarr
5213,17805,s3://mast/level1/shots/17805.zarr
5214,17807,s3://mast/level1/shots/17807.zarr
5215,17808,s3://mast/level1/shots/17808.zarr
5216,17809,s3://mast/level1/shots/17809.zarr
5217,17810,s3://mast/level1/shots/17810.zarr
5218,17811,s3://mast/level1/shots/17811.zarr
5219,17812,s3://mast/level1/shots/17812.zarr
5220,17813,s3://mast/level1/shots/17813.zarr
5221,17814,s3://mast/level1/shots/17814.zarr
5222,17815,s3://mast/level1/shots/17815.zarr
5223,17816,s3://mast/level1/shots/17816.zarr
5224,17817,s3://mast/level1/shots/17817.zarr
5225,17818,s3://mast/level1/shots/17818.zarr
5226,17819,s3://mast/level1/shots/17819.zarr
5227,17820,s3://mast/level1/shots/17820.zarr
5228,17822,s3://mast/level1/shots/17822.zarr
5229,17823,s3://mast/level1/shots/17823.zarr
5230,17824,s3://mast/level1/shots/17824.zarr
5231,17825,s3://mast/level1/shots/17825.zarr
5232,17826,s3://mast/level1/shots/17826.zarr
5233,17827,s3://mast/level1/shots/17827.zarr
5234,17828,s3://mast/level1/shots/17828.zarr
5235,17829,s3://mast/level1/shots/17829.zarr
5236,17830,s3://mast/level1/shots/17830.zarr
5237,17831,s3://mast/level1/shots/17831.zarr
5238,17832,s3://mast/level1/shots/17832.zarr
5239,17833,s3://mast/level1/shots/17833.zarr
5240,17834,s3://mast/level1/shots/17834.zarr
5241,17835,s3://mast/level1/shots/17835.zarr
5242,17836,s3://mast/level1/shots/17836.zarr
5243,17837,s3://mast/level1/shots/17837.zarr
5244,17838,s3://mast/level1/shots/17838.zarr
5245,17839,s3://mast/level1/shots/17839.zarr
5246,17840,s3://mast/level1/shots/17840.zarr
5247,17841,s3://mast/level1/shots/17841.zarr
5248,17842,s3://mast/level1/shots/17842.zarr
5249,17843,s3://mast/level1/shots/17843.zarr
5250,17844,s3://mast/level1/shots/17844.zarr
5251,17845,s3://mast/level1/shots/17845.zarr
5252,17847,s3://mast/level1/shots/17847.zarr
5253,17848,s3://mast/level1/shots/17848.zarr
5254,17849,s3://mast/level1/shots/17849.zarr
5255,17850,s3://mast/level1/shots/17850.zarr
5256,17851,s3://mast/level1/shots/17851.zarr
5257,17853,s3://mast/level1/shots/17853.zarr
5258,17854,s3://mast/level1/shots/17854.zarr
5259,17855,s3://mast/level1/shots/17855.zarr
5260,17856,s3://mast/level1/shots/17856.zarr
5261,17857,s3://mast/level1/shots/17857.zarr
5262,17858,s3://mast/level1/shots/17858.zarr
